model_variant,fold_id,sharpe,ann_return,n_days,sharpe_se
linear_base,0,8.71864732657126,1.247523554524148,21,3.4641016151377544
linear_base,1,1.8078290658381946,0.204246384861966,21,3.4641016151377544
linear_base,2,5.18543714605211,0.41898644874729674,21,3.4641016151377544
linear_base,3,6.9639486953958345,0.5111943434639665,20,3.5496478698597698
linear_base,4,2.991304913371794,0.23435863986510075,22,3.3844564489065974
linear_base,5,-0.3351867794862302,-0.040008465921566594,21,3.4641016151377544
linear_base,6,5.873231083609637,0.4827878156226104,22,3.3844564489065974
linear_base,7,2.5359757906463085,0.17640457628594475,20,3.5496478698597698
linear_base,8,-2.216877506134696,-0.3110511710609075,23,3.3100637062042226
linear_base,9,4.927001256578916,0.6380664669702585,21,3.4641016151377544
linear_base,10,8.607642818021704,0.8323171913926481,22,3.3844564489065974
linear_base,11,4.9792821268649865,0.49582564104188265,23,3.3100637062042226
linear_base,12,1.6498046717189245,0.10299705292955541,21,3.4641016151377544
linear_base,13,-2.8330497801979786,-0.31202983899379866,20,3.5496478698597698
linear_base,14,7.030478904835033,0.7179624583077702,22,3.3844564489065974
linear_base,15,-3.490788690300018,-0.5070150670661775,19,3.641861872001304
linear_base,16,-0.9249494938473733,-0.42880159149310504,22,3.3844564489065974
linear_base,17,12.349147319086644,2.4544153549761982,21,3.4641016151377544
linear_base,18,2.051869738034412,0.2191863095634543,22,3.3844564489065974
linear_base,19,2.013398997173695,0.12900194217008454,20,3.5496478698597698
linear_base,20,3.589335634377649,0.2269739503263417,23,3.3100637062042226
linear_base,21,4.113427883053045,0.2668734864510611,22,3.3844564489065974
linear_base,22,-0.16075884123436515,-0.013386334848438541,22,3.3844564489065974
linear_base,23,-1.136761589745413,-0.09474534323152906,23,3.3100637062042226
linear_base,24,4.4613814718722535,0.4631872294659718,21,3.4641016151377544
linear_base,25,3.7482016621794387,0.3237712017420904,20,3.5496478698597698
linear_base,26,3.721988792736492,0.3420679574435803,21,3.4641016151377544
linear_base,27,3.658402575062364,0.27122758295013427,20,3.5496478698597698
linear_base,28,10.933443610524888,1.05037225156905,22,3.3844564489065974
linear_base,29,8.691690296357066,0.4978287834888555,22,3.3844564489065974
linear_regime,0,9.68841023044472,1.3501206536473886,21,3.4641016151377544
linear_regime,1,1.8078290658381946,0.204246384861966,21,3.4641016151377544
linear_regime,2,2.850739172996558,0.22718854548699752,21,3.4641016151377544
linear_regime,3,6.062213674759823,0.48988564902204357,20,3.5496478698597698
linear_regime,4,4.884483276057259,0.3530103345706719,22,3.3844564489065974
linear_regime,5,-1.3383608124008401,-0.13086653369447976,21,3.4641016151377544
linear_regime,6,5.5990772037080365,0.44929903027477813,22,3.3844564489065974
linear_regime,7,0.5328452131535351,0.03457189769267832,20,3.5496478698597698
linear_regime,8,-1.7471164675066222,-0.2455961444843494,23,3.3100637062042226
linear_regime,9,6.377872916677416,0.6469657005237992,21,3.4641016151377544
linear_regime,10,9.23833111397226,0.9287539297996417,22,3.3844564489065974
linear_regime,11,4.9792821268649865,0.49582564104188265,23,3.3100637062042226
linear_regime,12,0.672005552329144,0.042936757559626226,21,3.4641016151377544
linear_regime,13,-2.934341408233478,-0.38022366092933857,20,3.5496478698597698
linear_regime,14,8.22694773486302,0.7846777020616911,22,3.3844564489065974
linear_regime,15,-3.1192966516635914,-0.3384311855805504,19,3.641861872001304
linear_regime,16,-0.9249494938473733,-0.42880159149310504,22,3.3844564489065974
linear_regime,17,11.696163325216512,2.203935761430197,21,3.4641016151377544
linear_regime,18,1.890351304362737,0.18083720820675797,22,3.3844564489065974
linear_regime,19,3.9783478120613456,0.2519931379454339,20,3.5496478698597698
linear_regime,20,2.8630937361287954,0.2171074520269356,23,3.3100637062042226
linear_regime,21,6.1380494244611254,0.3976297656929786,22,3.3844564489065974
linear_regime,22,-0.16075884123436515,-0.013386334848438541,22,3.3844564489065974
linear_regime,23,-1.064302644840992,-0.09249687506620807,23,3.3100637062042226
linear_regime,24,4.604361215527164,0.4312099726537557,21,3.4641016151377544
linear_regime,25,4.670959218728309,0.4147450811234832,20,3.5496478698597698
linear_regime,26,4.3067887960065665,0.3465698290919541,21,3.4641016151377544
linear_regime,27,-0.6474800271233098,-0.056794362676145904,20,3.5496478698597698
linear_regime,28,10.259671008246832,0.9249362195656063,22,3.3844564489065974
linear_regime,29,12.374594855786368,0.7326171826251633,22,3.3844564489065974
logistic_base,0,6.47950605379342,0.791209515532179,21,3.4641016151377544
logistic_base,1,2.0258602569949025,0.2179440144992295,21,3.4641016151377544
logistic_base,2,2.3193221145853244,0.1878342408925351,21,3.4641016151377544
logistic_base,3,6.9639486953958345,0.5111943434639665,20,3.5496478698597698
logistic_base,4,6.403239597213363,0.4483720966987217,22,3.3844564489065974
logistic_base,5,-0.1729254620846691,-0.021921545507484708,21,3.4641016151377544
logistic_base,6,6.913971874935452,0.5589771762256843,22,3.3844564489065974
logistic_base,7,4.050198589333621,0.2710829086177142,20,3.5496478698597698
logistic_base,8,-2.2737640483301322,-0.30738225423923926,23,3.3100637062042226
logistic_base,9,4.927001256578916,0.6380664669702585,21,3.4641016151377544
logistic_base,10,9.179928422628322,0.7910729073530609,22,3.3844564489065974
logistic_base,11,4.40775554828982,0.3934708544504373,23,3.3100637062042226
logistic_base,12,1.6050067677212168,0.10455499258372036,21,3.4641016151377544
logistic_base,13,-2.5632777310536667,-0.24348492648910414,20,3.5496478698597698
logistic_base,14,7.742074544272931,0.5862139375878928,22,3.3844564489065974
logistic_base,15,-4.003118803273925,-0.4673337987691508,19,3.641861872001304
logistic_base,16,-1.0303358581255875,-0.4722153033775428,22,3.3844564489065974
logistic_base,17,11.621610795302033,2.1604163545229613,21,3.4641016151377544
logistic_base,18,5.128047396797369,0.4332726853712665,22,3.3844564489065974
logistic_base,19,0.18707815089401048,0.011374370149882962,20,3.5496478698597698
logistic_base,20,3.9054695749095143,0.21526505065227242,23,3.3100637062042226
logistic_base,21,6.099161220372661,0.36926854498725614,22,3.3844564489065974
logistic_base,22,-1.3734608180270484,-0.10806900307695211,22,3.3844564489065974
logistic_base,23,-1.064302644840992,-0.09249687506620807,23,3.3100637062042226
logistic_base,24,3.392988716583456,0.36471432727962516,21,3.4641016151377544
logistic_base,25,5.175047961056929,0.437356472856699,20,3.5496478698597698
logistic_base,26,3.050162868669747,0.25064759556106764,21,3.4641016151377544
logistic_base,27,3.4485517146765474,0.24029739236388337,20,3.5496478698597698
logistic_base,28,10.933443610524888,1.05037225156905,22,3.3844564489065974
logistic_base,29,9.08786330448511,0.5778212188519123,22,3.3844564489065974
logistic_regime,0,8.565353784474743,1.0541948551499951,21,3.4641016151377544
logistic_regime,1,2.0258602569949025,0.2179440144992295,21,3.4641016151377544
logistic_regime,2,2.463000648529011,0.1931636438894082,21,3.4641016151377544
logistic_regime,3,6.9639486953958345,0.5111943434639665,20,3.5496478698597698
logistic_regime,4,6.403239597213363,0.4483720966987217,22,3.3844564489065974
logistic_regime,5,-0.28402931895598105,-0.033474484474807165,21,3.4641016151377544
logistic_regime,6,5.635208877948855,0.4865918620301941,22,3.3844564489065974
logistic_regime,7,0.5455494147269653,0.0374179732763511,20,3.5496478698597698
logistic_regime,8,-1.391501952184616,-0.18218498363159874,23,3.3100637062042226
logistic_regime,9,5.0029092412955345,0.4654646146066759,21,3.4641016151377544
logistic_regime,10,10.481475740416156,0.9337643937311868,22,3.3844564489065974
logistic_regime,11,4.40775554828982,0.3934708544504373,23,3.3100637062042226
logistic_regime,12,2.155146400469901,0.12092296988232976,21,3.4641016151377544
logistic_regime,13,-2.3888743480450763,-0.24352081411005355,20,3.5496478698597698
logistic_regime,14,7.723186585655126,0.5955907478136457,22,3.3844564489065974
logistic_regime,15,-2.626947915505031,-0.24462281527099017,19,3.641861872001304
logistic_regime,16,-1.0863292372090343,-0.513519007651583,22,3.3844564489065974
logistic_regime,17,11.621610795302033,2.1604163545229613,21,3.4641016151377544
logistic_regime,18,2.57427825258129,0.23624821032836874,22,3.3844564489065974
logistic_regime,19,3.2033523363875216,0.1886907666753468,20,3.5496478698597698
logistic_regime,20,4.378744959574409,0.2856390536913349,23,3.3100637062042226
logistic_regime,21,4.138734262786085,0.26309692794307415,22,3.3844564489065974
logistic_regime,22,-0.7737396107418429,-0.06475315670807325,22,3.3844564489065974
logistic_regime,23,-1.064302644840992,-0.09249687506620807,23,3.3100637062042226
logistic_regime,24,3.9522878032016306,0.3762727492333442,21,3.4641016151377544
logistic_regime,25,5.175047961056929,0.437356472856699,20,3.5496478698597698
logistic_regime,26,7.342296502609903,0.5690122032749569,21,3.4641016151377544
logistic_regime,27,0.7660987318692046,0.05383919118958036,20,3.5496478698597698
logistic_regime,28,10.496885589074653,0.8343730932464186,22,3.3844564489065974
logistic_regime,29,9.083496882717345,0.5404563481973081,22,3.3844564489065974
lstm_base,0,9.140102424147331,1.5515792662428924,21,3.4641016151377544
lstm_base,1,3.214500170113743,0.5509766347528595,21,3.4641016151377544
lstm_base,2,-0.42112379641150177,-0.05577603106598095,21,3.4641016151377544
lstm_base,3,3.906833854448989,0.5743397265680841,20,3.5496478698597698
lstm_base,4,-2.380557011539065,-0.30664256551075797,22,3.3844564489065974
lstm_base,5,0.8498712924225146,0.14275891074565794,21,3.4641016151377544
lstm_base,6,1.973446204158548,0.18372146464808536,22,3.3844564489065974
lstm_base,7,-2.797845542748033,-0.2183974929228859,20,3.5496478698597698
lstm_base,8,3.5441288312916024,0.5352759752683558,23,3.3100637062042226
lstm_base,9,8.129251869327332,1.1298573383095398,21,3.4641016151377544
lstm_base,10,5.018225948711611,0.5745682996406272,22,3.3844564489065974
lstm_base,11,0.3028641298719353,0.051006877793592365,23,3.3100637062042226
lstm_base,12,-2.60571150463102,-0.28162591762547007,21,3.4641016151377544
lstm_base,13,-3.1336792401623357,-0.5096223561640861,20,3.5496478698597698
lstm_base,14,4.771247373664279,0.5836824669625695,22,3.3844564489065974
lstm_base,15,-3.3748084339105957,-0.5885912615419249,19,3.641861872001304
lstm_base,16,-1.001603600719144,-0.42064782456749517,22,3.3844564489065974
lstm_base,17,10.573691232916062,1.952481044337278,21,3.4641016151377544
lstm_base,18,0.6139120847762151,0.09388975039247893,22,3.3844564489065974
lstm_base,19,1.6089102270961992,0.21715101869841824,20,3.5496478698597698
lstm_base,20,2.3983130574001357,0.28156005493748415,23,3.3100637062042226
lstm_base,21,3.7777140910438414,0.42023580548632244,22,3.3844564489065974
lstm_base,22,0.812093753942759,0.11254782156553333,22,3.3844564489065974
lstm_base,23,0.8476314304215251,0.10544256765321514,23,3.3100637062042226
lstm_base,24,5.202845129615441,0.5897594941816058,21,3.4641016151377544
lstm_base,25,0.843771323861299,0.10149334351625172,20,3.5496478698597698
lstm_base,26,0.8473093397728098,0.08678475733836755,21,3.4641016151377544
lstm_base,27,-4.123674961404042,-0.6259320846425058,20,3.5496478698597698
lstm_base,28,4.712234018220296,0.8983479453394512,22,3.3844564489065974
lstm_base,29,-0.1779137043351434,-0.018873216421703698,22,3.3844564489065974
lstm_regime,0,15.729063281863482,3.179783292823763,21,3.4641016151377544
lstm_regime,1,2.9208971433556203,0.4769031224261451,21,3.4641016151377544
lstm_regime,2,-0.42112379641150177,-0.05577603106598095,21,3.4641016151377544
lstm_regime,3,2.7011753299144083,0.3643007178418147,20,3.5496478698597698
lstm_regime,4,-2.380557011539065,-0.30664256551075797,22,3.3844564489065974
lstm_regime,5,-0.8691792488418838,-0.16291799309231114,21,3.4641016151377544
lstm_regime,6,1.973446204158548,0.18372146464808536,22,3.3844564489065974
lstm_regime,7,6.945434088257138,0.4858196004985591,20,3.5496478698597698
lstm_regime,8,-2.323576278184993,-0.40751572487500043,23,3.3100637062042226
lstm_regime,9,8.129251869327332,1.1298573383095398,21,3.4641016151377544
lstm_regime,10,5.018225948711611,0.5745682996406272,22,3.3844564489065974
lstm_regime,11,5.467289579326424,0.7386789947392605,23,3.3100637062042226
lstm_regime,12,-1.3267456278680267,-0.16953008915342915,21,3.4641016151377544
lstm_regime,13,-3.1336792401623357,-0.5096223561640861,20,3.5496478698597698
lstm_regime,14,6.438196036255552,0.8848913078184573,22,3.3844564489065974
lstm_regime,15,-0.8825591097560054,-0.11634067062001807,19,3.641861872001304
lstm_regime,16,-1.001603600719144,-0.42064782456749517,22,3.3844564489065974
lstm_regime,17,10.573691232916062,1.952481044337278,21,3.4641016151377544
lstm_regime,18,0.6139120847762151,0.09388975039247893,22,3.3844564489065974
lstm_regime,19,-1.368485985049795,-0.15321967511223478,20,3.5496478698597698
lstm_regime,20,3.54266081065553,0.4803133869727081,23,3.3100637062042226
lstm_regime,21,3.7777140910438414,0.42023580548632244,22,3.3844564489065974
lstm_regime,22,3.1936438912240352,0.40672410731204844,22,3.3844564489065974
lstm_regime,23,-2.474795642190776,-0.3550158344247605,23,3.3100637062042226
lstm_regime,24,5.202845129615441,0.5897594941816058,21,3.4641016151377544
lstm_regime,25,0.843771323861299,0.10149334351625172,20,3.5496478698597698
lstm_regime,26,0.8473093397728098,0.08678475733836755,21,3.4641016151377544
lstm_regime,27,-4.123674961404042,-0.6259320846425058,20,3.5496478698597698
lstm_regime,28,4.712234018220296,0.8983479453394512,22,3.3844564489065974
lstm_regime,29,-0.1779137043351434,-0.018873216421703698,22,3.3844564489065974
pca_base,0,10.941164455418114,1.4219969855652912,21,3.4641016151377544
pca_base,1,4.2173911335196665,0.39423792732586826,21,3.4641016151377544
pca_base,2,1.479810020282467,0.12338647064454644,21,3.4641016151377544
pca_base,3,3.46523188916645,0.32803151905435457,20,3.5496478698597698
pca_base,4,1.4444313065040355,0.12269801540957226,22,3.3844564489065974
pca_base,5,-2.8244107335904713,-0.23290714725228412,21,3.4641016151377544
pca_base,6,1.2775111088161915,0.12043374198167078,22,3.3844564489065974
pca_base,7,3.896187712287666,0.21542408503855404,20,3.5496478698597698
pca_base,8,-2.097821313149111,-0.27407912180779403,23,3.3100637062042226
pca_base,9,5.502887790338647,0.6190024791270923,21,3.4641016151377544
pca_base,10,9.137880049020625,0.7860256418861895,22,3.3844564489065974
pca_base,11,4.332883455205451,0.33490521926451655,23,3.3100637062042226
pca_base,12,-0.04886964019915029,-0.0029562341428164274,21,3.4641016151377544
pca_base,13,-4.077201637105376,-0.4471453738395975,20,3.5496478698597698
pca_base,14,6.699878861939809,0.5189809791266979,22,3.3844564489065974
pca_base,15,-3.797772768601676,-0.5044061590190227,19,3.641861872001304
pca_base,16,-1.0706579142626977,-0.46031364727286417,22,3.3844564489065974
pca_base,17,8.610389309520203,0.9089071834806615,21,3.4641016151377544
pca_base,18,4.720378151631094,0.3762203661826846,22,3.3844564489065974
pca_base,19,1.4206042360716657,0.10312919945240262,20,3.5496478698597698
pca_base,20,2.0989717350531554,0.11011077606550779,23,3.3100637062042226
pca_base,21,10.151957288131232,0.5402684405000804,22,3.3844564489065974
pca_base,22,1.1721182267657306,0.08295297405025415,22,3.3844564489065974
pca_base,23,-0.8018632861560946,-0.06397991407732428,23,3.3100637062042226
pca_base,24,3.5625730069822206,0.24931726777999108,21,3.4641016151377544
pca_base,25,6.757892568181166,0.6640374244957241,20,3.5496478698597698
pca_base,26,5.329600842915876,0.6740606762962524,21,3.4641016151377544
pca_base,27,-4.775591772552249,-0.5204926209480298,20,3.5496478698597698
pca_base,28,12.377431210600575,1.0653963158024675,22,3.3844564489065974
pca_base,29,0.9764681163089723,0.11234853570467518,22,3.3844564489065974
pca_regime,0,7.354175619231504,0.8901139070558766,21,3.4641016151377544
pca_regime,1,2.99361106163395,0.2986584116490745,21,3.4641016151377544
pca_regime,2,0.05583502440481693,0.004991454990353361,21,3.4641016151377544
pca_regime,3,5.118287974275925,0.5501864508469445,20,3.5496478698597698
pca_regime,4,2.0301302919107664,0.18794209254428274,22,3.3844564489065974
pca_regime,5,-0.8513088743665191,-0.08187320870489767,21,3.4641016151377544
pca_regime,6,1.7873806797052818,0.16256001851844548,22,3.3844564489065974
pca_regime,7,1.0932518036369343,0.06160503380567306,20,3.5496478698597698
pca_regime,8,-0.6593764948274472,-0.07830115439297636,23,3.3100637062042226
pca_regime,9,4.675256326896304,0.5228089751416007,21,3.4641016151377544
pca_regime,10,6.176539046385461,0.4429178064117498,22,3.3844564489065974
pca_regime,11,5.703629515479978,0.5890158913504484,23,3.3100637062042226
pca_regime,12,1.105896548885001,0.06926211298098739,21,3.4641016151377544
pca_regime,13,-3.7183907966222725,-0.49215305964478595,20,3.5496478698597698
pca_regime,14,5.10172848953149,0.5460396353731267,22,3.3844564489065974
pca_regime,15,-3.9276294079128196,-0.4565761135103509,19,3.641861872001304
pca_regime,16,-1.0105552312441064,-0.4749186277998755,22,3.3844564489065974
pca_regime,17,11.941166310147539,1.9125467670605074,21,3.4641016151377544
pca_regime,18,2.434842235232699,0.20224502854947213,22,3.3844564489065974
pca_regime,19,1.542065957953313,0.10125762569404362,20,3.5496478698597698
pca_regime,20,2.5913646341452994,0.20006167255354002,23,3.3100637062042226
pca_regime,21,9.794835359274677,0.5115058603907676,22,3.3844564489065974
pca_regime,22,1.037729575829135,0.07439734759946948,22,3.3844564489065974
pca_regime,23,-1.0564247578408033,-0.1149199770978242,23,3.3100637062042226
pca_regime,24,4.455488463803946,0.485170972395917,21,3.4641016151377544
pca_regime,25,6.41327129377565,0.7218971068415587,20,3.5496478698597698
pca_regime,26,4.341955592179709,0.3089585231970746,21,3.4641016151377544
pca_regime,27,-2.5794307733300204,-0.28096398247285925,20,3.5496478698597698
pca_regime,28,10.288898174597634,1.605973945809612,22,3.3844564489065974
pca_regime,29,-0.18273510994172196,-0.014237352048793062,22,3.3844564489065974
