model,dimension,group,hit_rate,pval,n,flagged,flag_reason
linear_base,year,2023,0.4166666666666667,1.5357354173920069e-06,840,True,hit_rate < 0.45
linear_base,year,2024,0.5419501133786848,1.1071733719980795e-09,5292,False,
linear_base,year,2025,0.5194285714285715,0.005079145071668321,5250,False,
linear_base,year,2026,0.5117311350665821,0.3646549915624435,1577,False,
linear_base,ticker,DBA,0.6110210696920584,3.8637753676852695e-08,617,False,
linear_base,ticker,GLD,0.4505672609400324,0.015645091073112252,617,False,
linear_base,ticker,HYG,0.32576985413290116,3.1910982216351723e-18,617,True,hit_rate < 0.45
linear_base,ticker,IEF,0.44894651539708263,0.012496835084813161,617,True,hit_rate < 0.45
linear_base,ticker,IWM,0.6012965964343598,5.487855282506361e-07,617,False,
linear_base,ticker,LQD,0.413290113452188,1.8906655129477948e-05,617,True,hit_rate < 0.45
linear_base,ticker,QQQ,0.5786061588330632,0.00010787792519234018,617,False,
linear_base,ticker,SPY,0.4862681744749596,0.5201959902085805,619,False,
linear_base,ticker,TLT,0.47163695299837927,0.17101497409083055,617,False,
linear_base,ticker,USO,0.5510534846029174,0.012496835084813161,617,False,
linear_base,ticker,XLB,0.6077795786061588,9.607154316101994e-08,617,False,
linear_base,ticker,XLC,0.5721231766612642,0.00038770499527201265,617,False,
linear_base,ticker,XLE,0.5056726094003241,0.809152033862599,617,False,
linear_base,ticker,XLF,0.47163695299837927,0.17101497409083055,617,False,
linear_base,ticker,XLI,0.5478119935170178,0.01947039135997015,617,False,
linear_base,ticker,XLK,0.5688816855753647,0.0007078739586212573,617,False,
linear_base,ticker,XLP,0.5623987034035657,0.0021904305216823685,617,False,
linear_base,ticker,XLRE,0.5413290113452188,0.04403521342401489,617,False,
linear_base,ticker,XLU,0.5510534846029174,0.012496835084813161,617,False,
linear_base,ticker,XLV,0.5640194489465153,0.0016668889765625503,617,False,
linear_base,ticker,XLY,0.5105348460291734,0.6290590742036524,617,False,
linear_base,regime,crisis,0.5184645286686103,0.09825635177055102,2058,False,
linear_base,regime,neutral,0.4609429978888107,3.6309621387326285e-07,4263,False,
linear_base,regime,risk_off,0.5771428571428572,9.988016483616278e-10,1575,False,
linear_base,regime,risk_on,0.557116953762466,3.434620027773843e-14,4412,False,
linear_regime,year,2023,0.4119047619047619,3.684742123760779e-07,840,True,hit_rate < 0.45
linear_regime,year,2024,0.5321239606953893,3.138156105480354e-06,5292,False,
linear_regime,year,2025,0.5032380952380953,0.6487944950623149,5250,False,
linear_regime,year,2026,0.5389980976537729,0.0021153966682036086,1577,False,
linear_regime,ticker,DBA,0.5964343598055105,1.892987964522391e-06,617,False,
